Episode # 490  |  Val. Score: -0.90  |  Avg. Val. Score: -0.26  |  Epsilon: 0.728  |  Time elapsed: 184.29s
Episode # 500  |  Val. Score: -0.80  |  Avg. Val. Score: -0.27  |  Epsilon: 0.723  |  Time elapsed: 188.74s
Checkpoint saved!
Episode # 510  |  Val. Score: -0.70  |  Avg. Val. Score: -0.28  |  Epsilon: 0.719  |  Time elapsed: 193.10s
Episode # 520  |  Val. Score: -0.60  |  Avg. Val. Score: -0.29  |  Epsilon: 0.716  |  Time elapsed: 197.00s
Episode # 530  |  Val. Score: +0.40  |  Avg. Val. Score: -0.28  |  Epsilon: 0.712  |  Time elapsed: 200.91s
Episode # 540  |  Val. Score: -0.60  |  Avg. Val. Score: -0.28  |  Epsilon: 0.708  |  Time elapsed: 204.77s
Episode # 550  |  Val. Score: -0.60  |  Avg. Val. Score: -0.29  |  Epsilon: 0.704  |  Time elapsed: 208.76s
Episode # 560  |  Val. Score: -1.00  |  Avg. Val. Score: -0.30  |  Epsilon: 0.701  |  Time elapsed: 212.38s
Episode # 570  |  Val. Score: -0.70  |  Avg. Val. Score: -0.31  |  Epsilon: 0.696  |  Time elapsed: 216.99s
Episode # 580  |  Val. Score: -0.80  |  Avg. Val. Score: -0.32  |  Epsilon: 0.692  |  Time elapsed: 221.50s
Episode # 590  |  Val. Score: -0.60  |  Avg. Val. Score: -0.32  |  Epsilon: 0.687  |  Time elapsed: 228.80s
Episode # 600  |  Val. Score: -0.60  |  Avg. Val. Score: -0.33  |  Epsilon: 0.682  |  Time elapsed: 236.43s
Checkpoint saved!
Episode # 610  |  Val. Score: -0.50  |  Avg. Val. Score: -0.33  |  Epsilon: 0.678  |  Time elapsed: 242.58s
Episode # 620  |  Val. Score: -0.60  |  Avg. Val. Score: -0.33  |  Epsilon: 0.674  |  Time elapsed: 249.56s
Episode # 630  |  Val. Score: -0.50  |  Avg. Val. Score: -0.33  |  Epsilon: 0.670  |  Time elapsed: 255.90s
Episode # 640  |  Val. Score: -0.90  |  Avg. Val. Score: -0.34  |  Epsilon: 0.666  |  Time elapsed: 262.75s
Episode # 650  |  Val. Score: -0.70  |  Avg. Val. Score: -0.35  |  Epsilon: 0.662  |  Time elapsed: 270.80s
Episode # 660  |  Val. Score: -0.60  |  Avg. Val. Score: -0.35  |  Epsilon: 0.658  |  Time elapsed: 277.76s
Episode # 670  |  Val. Score: -0.90  |  Avg. Val. Score: -0.36  |  Epsilon: 0.653  |  Time elapsed: 285.32s
Episode # 680  |  Val. Score: -0.50  |  Avg. Val. Score: -0.36  |  Epsilon: 0.649  |  Time elapsed: 291.02s
Episode # 690  |  Val. Score: -0.90  |  Avg. Val. Score: -0.37  |  Epsilon: 0.645  |  Time elapsed: 297.72s
Episode # 700  |  Val. Score: -0.40  |  Avg. Val. Score: -0.37  |  Epsilon: 0.642  |  Time elapsed: 303.02s
Checkpoint saved!
Episode # 710  |  Val. Score: -0.30  |  Avg. Val. Score: -0.37  |  Epsilon: 0.638  |  Time elapsed: 309.17s
Episode # 720  |  Val. Score: -0.60  |  Avg. Val. Score: -0.37  |  Epsilon: 0.633  |  Time elapsed: 314.69s
Episode # 730  |  Val. Score: -0.90  |  Avg. Val. Score: -0.38  |  Epsilon: 0.630  |  Time elapsed: 320.61s
Episode # 740  |  Val. Score: -0.40  |  Avg. Val. Score: -0.38  |  Epsilon: 0.627  |  Time elapsed: 326.65s
Episode # 750  |  Val. Score: -0.80  |  Avg. Val. Score: -0.39  |  Epsilon: 0.624  |  Time elapsed: 332.27s
Episode # 760  |  Val. Score: -0.70  |  Avg. Val. Score: -0.39  |  Epsilon: 0.622  |  Time elapsed: 338.02s
Episode # 770  |  Val. Score: -0.70  |  Avg. Val. Score: -0.39  |  Epsilon: 0.620  |  Time elapsed: 343.11s
Episode # 780  |  Val. Score: -0.40  |  Avg. Val. Score: -0.39  |  Epsilon: 0.616  |  Time elapsed: 350.70s
Episode # 790  |  Val. Score: -0.60  |  Avg. Val. Score: -0.40  |  Epsilon: 0.614  |  Time elapsed: 356.71s
Episode # 800  |  Val. Score: -0.30  |  Avg. Val. Score: -0.40  |  Epsilon: 0.610  |  Time elapsed: 362.30s
Checkpoint saved!
Episode # 810  |  Val. Score: -0.60  |  Avg. Val. Score: -0.40  |  Epsilon: 0.608  |  Time elapsed: 367.26s
Episode # 820  |  Val. Score: -0.50  |  Avg. Val. Score: -0.40  |  Epsilon: 0.605  |  Time elapsed: 373.16s
Episode # 830  |  Val. Score: -0.70  |  Avg. Val. Score: -0.40  |  Epsilon: 0.603  |  Time elapsed: 378.77s
Episode # 840  |  Val. Score: -0.60  |  Avg. Val. Score: -0.41  |  Epsilon: 0.601  |  Time elapsed: 383.34s
Episode # 850  |  Val. Score: -0.70  |  Avg. Val. Score: -0.41  |  Epsilon: 0.597  |  Time elapsed: 389.73s
Episode # 860  |  Val. Score: -0.70  |  Avg. Val. Score: -0.41  |  Epsilon: 0.594  |  Time elapsed: 395.63s
Episode # 870  |  Val. Score: +0.00  |  Avg. Val. Score: -0.41  |  Epsilon: 0.593  |  Time elapsed: 399.91s
Episode # 880  |  Val. Score: -0.60  |  Avg. Val. Score: -0.41  |  Epsilon: 0.589  |  Time elapsed: 408.90s
Episode # 890  |  Val. Score: +0.40  |  Avg. Val. Score: -0.40  |  Epsilon: 0.587  |  Time elapsed: 413.51s
Episode # 900  |  Val. Score: -0.50  |  Avg. Val. Score: -0.40  |  Epsilon: 0.584  |  Time elapsed: 420.71s
